Sample in Buffer,Sample in Window,TRIGGER,design_1_i/sensor_ss/sensor_ila/inst/probe0_1[3:0],design_1_i/sensor_ss/sensor_ila/inst/probe1_1[3:0],design_1_i/sensor_ss/sensor_ila/inst/probe2_1[11:0],design_1_i/sensor_ss/sensor_ila/inst/probe3_1[11:0],design_1_i/sensor_ss/sensor_ila/inst/probe4_1[9:0],design_1_i/sensor_ss/sensor_ila/inst/probe5_1,design_1_i/sensor_ss/sensor_ila/inst/probe6_1[31:0],design_1_i/sensor_ss/sensor_ila/inst/probe7_1,design_1_i/sensor_ss/sensor_ila/inst/net_slot_0_axis_tdata[31:0],design_1_i/sensor_ss/sensor_ila/inst/net_slot_0_axis_tvalid,design_1_i/sensor_ss/sensor_ila/inst/net_slot_0_axis_tready,design_1_i/sensor_ss/sensor_ila/inst/net_slot_0_axis_tlast,Interface_(i2:s0)_(sensor_data_acquisition_data)[2:0],T_Channel_(i2:s0)_(sensor_data_acquisition_data)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX,HEX
402,402,0,4,3,745,745,289,1,00008001,1,0,0,0,0,"Inactive","No Streams"
403,403,0,4,3,744,744,290,1,00008001,1,0,0,0,0,"Inactive","No Streams"
404,404,0,4,3,744,744,291,1,00008001,1,0,0,0,0,"Inactive","No Streams"
405,405,0,4,3,748,748,292,1,00008001,1,0,0,0,0,"Inactive","No Streams"
406,406,0,4,3,737,737,293,1,00008001,1,0,0,0,0,"Inactive","No Streams"
407,407,0,4,3,739,739,294,1,00008001,1,0,0,0,0,"Inactive","No Streams"
408,408,0,4,3,745,745,295,1,00008001,1,0,0,0,0,"Inactive","No Streams"
409,409,0,4,3,748,748,296,1,00008001,1,0,0,0,0,"Inactive","No Streams"
410,410,0,4,3,757,757,297,1,00008001,1,0,0,0,0,"Inactive","No Streams"
411,411,0,4,3,749,749,298,1,00008001,1,0,0,0,0,"Inactive","No Streams"
412,412,0,4,3,731,731,299,1,00008001,1,0,0,0,0,"Inactive","No Streams"
413,413,0,4,3,733,733,300,1,00008001,1,0,0,0,0,"Inactive","No Streams"
414,414,0,4,3,736,736,301,1,00008001,1,0,0,0,0,"Inactive","No Streams"
415,415,0,4,3,750,750,302,1,00008001,1,0,0,0,0,"Inactive","No Streams"
416,416,0,4,3,725,725,303,1,00008001,1,0,0,0,0,"Inactive","No Streams"
417,417,0,4,3,756,756,304,1,00008001,1,0,0,0,0,"Inactive","No Streams"
418,418,0,4,3,737,737,305,1,00008001,1,0,0,0,0,"Inactive","No Streams"
419,419,0,4,3,741,741,306,1,00008001,1,0,0,0,0,"Inactive","No Streams"
420,420,0,4,3,736,736,307,1,00008001,1,0,0,0,0,"Inactive","No Streams"
421,421,0,4,3,746,746,308,1,00008001,1,0,0,0,0,"Inactive","No Streams"
422,422,0,4,3,748,748,309,1,00008001,1,0,0,0,0,"Inactive","No Streams"
423,423,0,4,3,753,753,310,1,00008001,1,0,0,0,0,"Inactive","No Streams"
424,424,0,4,3,738,738,311,1,00008001,1,0,0,0,0,"Inactive","No Streams"
425,425,0,4,3,740,740,312,1,00008001,1,0,0,0,0,"Inactive","No Streams"
426,426,0,4,3,731,731,313,1,00008001,1,0,0,0,0,"Inactive","No Streams"
427,427,0,4,3,740,740,314,1,00008001,1,0,0,0,0,"Inactive","No Streams"
428,428,0,4,3,745,745,315,1,00008001,1,0,0,0,0,"Inactive","No Streams"
429,429,0,4,3,742,742,316,1,00008001,1,0,0,0,0,"Inactive","No Streams"
430,430,0,4,3,732,732,317,1,00008001,1,0,0,0,0,"Inactive","No Streams"
431,431,0,4,3,759,759,318,1,00008001,1,0,0,0,0,"Inactive","No Streams"
432,432,0,4,3,740,740,319,1,00008001,1,0,0,0,0,"Inactive","No Streams"
433,433,0,4,3,755,755,320,1,00008001,1,0,0,0,0,"Inactive","No Streams"
434,434,0,4,3,749,749,321,1,00008001,1,0,0,0,0,"Inactive","No Streams"
435,435,0,4,3,748,748,322,1,00008001,1,0,0,0,0,"Inactive","No Streams"
436,436,0,4,3,745,745,323,1,00008001,1,0,0,0,0,"Inactive","No Streams"
437,437,0,4,3,747,747,324,1,00008001,1,0,0,0,0,"Inactive","No Streams"
438,438,0,4,3,745,745,325,1,00008001,1,0,0,0,0,"Inactive","No Streams"
439,439,0,4,3,748,748,326,1,00008001,1,0,0,0,0,"Inactive","No Streams"
440,440,0,4,3,734,734,327,1,00008001,1,0,0,0,0,"Inactive","No Streams"
441,441,0,4,3,750,750,328,1,00008001,1,0,0,0,0,"Inactive","No Streams"
442,442,0,4,3,747,747,329,1,00008001,1,0,0,0,0,"Inactive","No Streams"
443,443,0,4,3,751,751,330,1,00008001,1,0,0,0,0,"Inactive","No Streams"
444,444,0,4,3,755,755,331,1,00008001,1,0,0,0,0,"Inactive","No Streams"
445,445,0,4,3,744,744,332,1,00008001,1,0,0,0,0,"Inactive","No Streams"
446,446,0,4,3,741,741,333,1,00008001,1,0,0,0,0,"Inactive","No Streams"
447,447,0,4,3,748,748,334,1,00008001,1,0,0,0,0,"Inactive","No Streams"
448,448,0,4,3,729,729,335,1,00008001,1,0,0,0,0,"Inactive","No Streams"
449,449,0,4,3,739,739,336,1,00008001,1,0,0,0,0,"Inactive","No Streams"
450,450,0,4,3,745,745,337,1,00008001,1,0,0,0,0,"Inactive","No Streams"
451,451,0,4,3,724,724,338,1,00008001,1,0,0,0,0,"Inactive","No Streams"
452,452,0,4,3,747,747,339,1,00008001,1,0,0,0,0,"Inactive","No Streams"
453,453,0,4,3,751,751,340,1,00008001,1,0,0,0,0,"Inactive","No Streams"
454,454,0,4,3,755,755,341,1,00008001,1,0,0,0,0,"Inactive","No Streams"
455,455,0,4,3,738,738,342,1,00008001,1,0,0,0,0,"Inactive","No Streams"
456,456,0,4,3,745,745,343,1,00008001,1,0,0,0,0,"Inactive","No Streams"
457,457,0,4,3,743,743,344,1,00008001,1,0,0,0,0,"Inactive","No Streams"
458,458,0,4,3,729,729,345,1,00008001,1,0,0,0,0,"Inactive","No Streams"
459,459,0,4,3,741,741,346,1,00008001,1,0,0,0,0,"Inactive","No Streams"
460,460,0,4,3,741,741,347,1,00008001,1,0,0,0,0,"Inactive","No Streams"
461,461,0,4,3,740,740,348,1,00008001,1,0,0,0,0,"Inactive","No Streams"
462,462,0,4,3,739,739,349,1,00008001,1,0,0,0,0,"Inactive","No Streams"
463,463,0,4,3,752,752,350,1,00008001,1,0,0,0,0,"Inactive","No Streams"
464,464,0,4,3,737,737,351,1,00008001,1,0,0,0,0,"Inactive","No Streams"
465,465,0,4,3,745,745,352,1,00008001,1,0,0,0,0,"Inactive","No Streams"
466,466,0,4,3,732,732,353,1,00008001,1,0,0,0,0,"Inactive","No Streams"
467,467,0,4,3,748,748,354,1,00008001,1,0,0,0,0,"Inactive","No Streams"
468,468,0,4,3,737,737,355,1,00008001,1,0,0,0,0,"Inactive","No Streams"
469,469,0,4,3,749,749,356,1,00008001,1,0,0,0,0,"Inactive","No Streams"
470,470,0,4,3,743,743,357,1,00008001,1,0,0,0,0,"Inactive","No Streams"
471,471,0,4,3,738,738,358,1,00008001,1,0,0,0,0,"Inactive","No Streams"
472,472,0,4,3,734,734,359,1,00008001,1,0,0,0,0,"Inactive","No Streams"
473,473,0,4,3,749,749,360,1,00008001,1,0,0,0,0,"Inactive","No Streams"
474,474,0,4,3,741,741,361,1,00008001,1,0,0,0,0,"Inactive","No Streams"
475,475,0,4,3,742,742,362,1,00008001,1,0,0,0,0,"Inactive","No Streams"
476,476,0,4,3,741,741,363,1,00008001,1,0,0,0,0,"Inactive","No Streams"
477,477,0,4,3,751,751,364,1,00008001,1,0,0,0,0,"Inactive","No Streams"
478,478,0,4,3,741,741,365,1,00008001,1,0,0,0,0,"Inactive","No Streams"
479,479,0,4,3,736,736,366,1,00008001,1,0,0,0,0,"Inactive","No Streams"
480,480,0,4,3,739,739,367,1,00008001,1,0,0,0,0,"Inactive","No Streams"
481,481,0,4,3,741,741,368,1,00008001,1,0,0,0,0,"Inactive","No Streams"
482,482,0,4,3,732,732,369,1,00008001,1,0,0,0,0,"Inactive","No Streams"
483,483,0,4,3,736,736,370,1,00008001,1,0,0,0,0,"Inactive","No Streams"
484,484,0,4,3,736,736,371,1,00008001,1,0,0,0,0,"Inactive","No Streams"
485,485,0,4,3,733,733,372,1,00008001,1,0,0,0,0,"Inactive","No Streams"
486,486,0,4,3,735,735,373,1,00008001,1,0,0,0,0,"Inactive","No Streams"
487,487,0,4,3,743,743,374,1,00008001,1,0,0,0,0,"Inactive","No Streams"
488,488,0,4,3,737,737,375,1,00008001,1,0,0,0,0,"Inactive","No Streams"
489,489,0,4,3,745,745,376,1,00008001,1,0,0,0,0,"Inactive","No Streams"
490,490,0,4,3,734,734,377,1,00008001,1,0,0,0,0,"Inactive","No Streams"
491,491,0,4,3,731,731,378,1,00008001,1,0,0,0,0,"Inactive","No Streams"
492,492,0,4,3,739,739,379,1,00008001,1,0,0,0,0,"Inactive","No Streams"
493,493,0,4,3,747,747,380,1,00008001,1,0,0,0,0,"Inactive","No Streams"
494,494,0,4,3,748,748,381,1,00008001,1,0,0,0,0,"Inactive","No Streams"
495,495,0,4,3,751,751,382,1,00008001,1,0,0,0,0,"Inactive","No Streams"
496,496,0,4,3,729,729,383,1,00008001,1,0,0,0,0,"Inactive","No Streams"
497,497,0,4,3,743,743,384,1,00008001,1,0,0,0,0,"Inactive","No Streams"
498,498,0,4,3,736,736,385,1,00008001,1,0,0,0,0,"Inactive","No Streams"
499,499,0,4,3,745,745,386,1,00008001,1,0,0,0,0,"Inactive","No Streams"
500,500,0,4,3,738,738,387,1,00008001,1,0,0,0,0,"Inactive","No Streams"
501,501,0,4,3,740,740,388,1,00008001,1,0,0,0,0,"Inactive","No Streams"
502,502,0,4,3,743,743,389,1,00008001,1,0,0,0,0,"Inactive","No Streams"
503,503,0,4,3,738,738,390,1,00008001,1,0,0,0,0,"Inactive","No Streams"
504,504,0,4,3,747,747,391,1,00008001,1,0,0,0,0,"Inactive","No Streams"
505,505,0,4,3,748,748,392,1,00008001,1,0,0,0,0,"Inactive","No Streams"
506,506,0,4,3,738,738,393,1,00008001,1,0,0,0,0,"Inactive","No Streams"
507,507,0,4,3,753,753,394,1,00008001,1,0,0,0,0,"Inactive","No Streams"
508,508,0,4,3,742,742,395,1,00008001,1,0,0,0,0,"Inactive","No Streams"
509,509,0,4,3,738,738,396,1,00008001,1,0,0,0,0,"Inactive","No Streams"
510,510,0,4,3,736,736,397,1,00008001,1,0,0,0,0,"Inactive","No Streams"
511,511,0,4,3,733,733,398,1,00008001,1,0,0,0,0,"Inactive","No Streams"
512,512,0,4,3,734,734,399,1,00008001,1,0,0,0,0,"Inactive","No Streams"
513,513,0,4,3,742,742,400,1,00008001,1,0,0,0,0,"Inactive","No Streams"
514,514,0,4,3,736,736,401,1,00008001,1,0,0,0,0,"Inactive","No Streams"
515,515,0,4,3,736,736,402,1,00008001,1,0,0,0,0,"Inactive","No Streams"
516,516,0,4,3,729,729,403,1,00008001,1,0,0,0,0,"Inactive","No Streams"
517,517,0,4,3,735,735,404,1,00008001,1,0,0,0,0,"Inactive","No Streams"
518,518,0,4,3,731,731,405,1,00008001,1,0,0,0,0,"Inactive","No Streams"
519,519,0,4,3,732,732,406,1,00008001,1,0,0,0,0,"Inactive","No Streams"
520,520,0,4,3,732,732,407,1,00008001,1,0,0,0,0,"Inactive","No Streams"
521,521,0,4,3,746,746,408,1,00008001,1,0,0,0,0,"Inactive","No Streams"
522,522,0,4,3,727,727,409,1,00008001,1,0,0,0,0,"Inactive","No Streams"
523,523,0,4,3,754,754,410,1,00008001,1,0,0,0,0,"Inactive","No Streams"
524,524,0,4,3,725,725,411,1,00008001,1,0,0,0,0,"Inactive","No Streams"
525,525,0,4,3,741,741,412,1,00008001,1,0,0,0,0,"Inactive","No Streams"
526,526,0,4,3,741,741,413,1,00008001,1,0,0,0,0,"Inactive","No Streams"
527,527,0,4,3,755,755,414,1,00008001,1,0,0,0,0,"Inactive","No Streams"
528,528,0,4,3,745,745,415,1,00008001,1,0,0,0,0,"Inactive","No Streams"
529,529,0,4,3,734,734,416,1,00008001,1,0,0,0,0,"Inactive","No Streams"
530,530,0,4,3,744,744,417,1,00008001,1,0,0,0,0,"Inactive","No Streams"
531,531,0,4,3,737,737,418,1,00008001,1,0,0,0,0,"Inactive","No Streams"
532,532,0,4,3,739,739,419,1,00008001,1,0,0,0,0,"Inactive","No Streams"
533,533,0,4,3,737,737,420,1,00008001,1,0,0,0,0,"Inactive","No Streams"
534,534,0,4,3,752,752,421,1,00008001,1,0,0,0,0,"Inactive","No Streams"
535,535,0,4,3,748,748,422,1,00008001,1,0,0,0,0,"Inactive","No Streams"
536,536,0,4,3,741,741,423,1,00008001,1,0,0,0,0,"Inactive","No Streams"
537,537,0,4,3,740,740,424,1,00008001,1,0,0,0,0,"Inactive","No Streams"
538,538,0,4,3,740,740,425,1,00008001,1,0,0,0,0,"Inactive","No Streams"
539,539,0,4,3,742,742,426,1,00008001,1,0,0,0,0,"Inactive","No Streams"
540,540,0,4,3,739,739,427,1,00008001,1,0,0,0,0,"Inactive","No Streams"
541,541,0,4,3,745,745,428,1,00008001,1,0,0,0,0,"Inactive","No Streams"
542,542,0,4,3,734,734,429,1,00008001,1,0,0,0,0,"Inactive","No Streams"
543,543,0,4,3,748,748,430,1,00008001,1,0,0,0,0,"Inactive","No Streams"
544,544,0,4,3,736,736,431,1,00008001,1,0,0,0,0,"Inactive","No Streams"
545,545,0,4,3,736,736,432,1,00008001,1,0,0,0,0,"Inactive","No Streams"
546,546,0,4,3,747,747,433,1,00008001,1,0,0,0,0,"Inactive","No Streams"
547,547,0,4,3,750,750,434,1,00008001,1,0,0,0,0,"Inactive","No Streams"
548,548,0,4,3,732,732,435,1,00008001,1,0,0,0,0,"Inactive","No Streams"
549,549,0,4,3,742,742,436,1,00008001,1,0,0,0,0,"Inactive","No Streams"
550,550,0,4,3,739,739,437,1,00008001,1,0,0,0,0,"Inactive","No Streams"
551,551,0,4,3,725,725,438,1,00008001,1,0,0,0,0,"Inactive","No Streams"
552,552,0,4,3,739,739,439,1,00008001,1,0,0,0,0,"Inactive","No Streams"
553,553,0,4,3,739,739,440,1,00008001,1,0,0,0,0,"Inactive","No Streams"
554,554,0,4,3,742,742,441,1,00008001,1,0,0,0,0,"Inactive","No Streams"
555,555,0,4,3,745,745,442,1,00008001,1,0,0,0,0,"Inactive","No Streams"
556,556,0,4,3,734,734,443,1,00008001,1,0,0,0,0,"Inactive","No Streams"
557,557,0,4,3,735,735,444,1,00008001,1,0,0,0,0,"Inactive","No Streams"
558,558,0,4,3,721,721,445,1,00008001,1,0,0,0,0,"Inactive","No Streams"
559,559,0,4,3,751,751,446,1,00008001,1,0,0,0,0,"Inactive","No Streams"
560,560,0,4,3,735,735,447,1,00008001,1,0,0,0,0,"Inactive","No Streams"
561,561,0,4,3,734,734,448,1,00008001,1,0,0,0,0,"Inactive","No Streams"
562,562,0,4,3,741,741,449,1,00008001,1,0,0,0,0,"Inactive","No Streams"
563,563,0,4,3,740,740,450,1,00008001,1,0,0,0,0,"Inactive","No Streams"
564,564,0,4,3,741,741,451,1,00008001,1,0,0,0,0,"Inactive","No Streams"
565,565,0,4,3,724,724,452,1,00008001,1,0,0,0,0,"Inactive","No Streams"
566,566,0,4,3,748,748,453,1,00008001,1,0,0,0,0,"Inactive","No Streams"
567,567,0,4,3,739,739,454,1,00008001,1,0,0,0,0,"Inactive","No Streams"
568,568,0,4,3,744,744,455,1,00008001,1,0,0,0,0,"Inactive","No Streams"
569,569,0,4,3,746,746,456,1,00008001,1,0,0,0,0,"Inactive","No Streams"
570,570,0,4,3,742,742,457,1,00008001,1,0,0,0,0,"Inactive","No Streams"
571,571,0,4,3,731,731,458,1,00008001,1,0,0,0,0,"Inactive","No Streams"
572,572,0,4,3,734,734,459,1,00008001,1,0,0,0,0,"Inactive","No Streams"
573,573,0,4,3,739,739,460,1,00008001,1,0,0,0,0,"Inactive","No Streams"
574,574,0,4,3,738,738,461,1,00008001,1,0,0,0,0,"Inactive","No Streams"
575,575,0,4,3,735,735,462,1,00008001,1,0,0,0,0,"Inactive","No Streams"
576,576,0,4,3,728,728,463,1,00008001,1,0,0,0,0,"Inactive","No Streams"
577,577,0,4,3,729,729,464,1,00008001,1,0,0,0,0,"Inactive","No Streams"
578,578,0,4,3,737,737,465,1,00008001,1,0,0,0,0,"Inactive","No Streams"
579,579,0,4,3,739,739,466,1,00008001,1,0,0,0,0,"Inactive","No Streams"
580,580,0,4,3,733,733,467,1,00008001,1,0,0,0,0,"Inactive","No Streams"
581,581,0,4,3,733,733,468,1,00008001,1,0,0,0,0,"Inactive","No Streams"
582,582,0,4,3,744,744,469,1,00008001,1,0,0,0,0,"Inactive","No Streams"
583,583,0,4,3,736,736,470,1,00008001,1,0,0,0,0,"Inactive","No Streams"
584,584,0,4,3,733,733,471,1,00008001,1,0,0,0,0,"Inactive","No Streams"
585,585,0,4,3,736,736,472,1,00008001,1,0,0,0,0,"Inactive","No Streams"
586,586,0,4,3,727,727,473,1,00008001,1,0,0,0,0,"Inactive","No Streams"
587,587,0,4,3,728,728,474,1,00008001,1,0,0,0,0,"Inactive","No Streams"
588,588,0,4,3,723,723,475,1,00008001,1,0,0,0,0,"Inactive","No Streams"
589,589,0,4,3,732,732,476,1,00008001,1,0,0,0,0,"Inactive","No Streams"
590,590,0,4,3,744,744,477,1,00008001,1,0,0,0,0,"Inactive","No Streams"
591,591,0,4,3,746,746,478,1,00008001,1,0,0,0,0,"Inactive","No Streams"
592,592,0,4,3,736,736,479,1,00008001,1,0,0,0,0,"Inactive","No Streams"
593,593,0,4,3,734,734,480,1,00008001,1,0,0,0,0,"Inactive","No Streams"
594,594,0,4,3,729,729,481,1,00008001,1,0,0,0,0,"Inactive","No Streams"
595,595,0,4,3,727,727,482,1,00008001,1,0,0,0,0,"Inactive","No Streams"
596,596,0,4,3,750,750,483,1,00008001,1,0,0,0,0,"Inactive","No Streams"
597,597,0,4,3,747,747,484,1,00008001,1,0,0,0,0,"Inactive","No Streams"
598,598,0,4,3,737,737,485,1,00008001,1,0,0,0,0,"Inactive","No Streams"
599,599,0,4,3,730,730,486,1,00008001,1,0,0,0,0,"Inactive","No Streams"
600,600,0,4,3,738,738,487,1,00008001,1,0,0,0,0,"Inactive","No Streams"
601,601,0,4,3,739,739,488,1,00008001,1,0,0,0,0,"Inactive","No Streams"
602,602,0,4,3,726,726,489,1,00008001,1,0,0,0,0,"Inactive","No Streams"
603,603,0,4,3,751,751,490,1,00008001,1,0,0,0,0,"Inactive","No Streams"
604,604,0,4,3,743,743,491,1,00008001,1,0,0,0,0,"Inactive","No Streams"
605,605,0,4,3,746,746,492,1,00008001,1,0,0,0,0,"Inactive","No Streams"
606,606,0,4,3,743,743,493,1,00008001,1,0,0,0,0,"Inactive","No Streams"
607,607,0,4,3,721,721,494,1,00008001,1,0,0,0,0,"Inactive","No Streams"
608,608,0,4,3,743,743,495,1,00008001,1,0,0,0,0,"Inactive","No Streams"
609,609,0,4,3,735,735,496,1,00008001,1,0,0,0,0,"Inactive","No Streams"
610,610,0,4,3,741,741,497,1,00008001,1,0,0,0,0,"Inactive","No Streams"
611,611,0,4,3,740,740,498,1,00008001,1,0,0,0,0,"Inactive","No Streams"
612,612,0,4,3,734,734,499,1,00008001,1,0,0,0,0,"Inactive","No Streams"
